###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
aaa_RaBhHj_E400_4362.jpg		no	0:00	0:05	0.000	5.000	5.000	Bretagne und Normandie Herbst	Plougasnou	Sainte-Barbe	24.9.14 (Mi) 17:29
QyShVe_E400_4012.jpg		no	0:05	0:10	5.000	10.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 14:43
QySiBt_E400_4015.jpg		no	0:10	0:15	10.000	15.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 14:46
QySiGc_E400_4019.jpg		no	0:15	0:20	15.000	20.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 14:47
QySiLd_E400_4023.jpg		no	0:20	0:25	20.000	25.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 14:50
QySiPk_E400_4024.jpg		no	0:25	0:30	25.000	30.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 14:52
QySiUf_iPh5s_0776.jpg		no	0:30	0:35	30.000	35.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 14:54
QySjDk_E400_4038.jpg		no	0:35	0:40	35.000	40.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 14:58
QySjIm_E400_4042.jpg		no	0:40	0:45	40.000	45.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 15:00
QySjJt_iPh5s_0780.jpg		no	0:45	0:50	45.000	50.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 15:00
QySjMl_iPh5s_0781.jpg		no	0:50	0:55	50.000	55.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 15:01
QySjPe_E400_4047.jpg		no	0:55	1:00	55.000	60.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 15:03
QySkNb_E400_4062.jpg		no	1:00	1:05	60.000	65.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 15:13
QySkVk_E400_4067.jpg		no	1:05	1:10	65.000	70.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 15:17
QySlAx_iPh5s_0790.jpg		no	1:10	1:15	70.000	75.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 15:19
QySlKt_E400_4078.jpg		no	1:15	1:20	75.000	80.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 15:23
QySlLu_iPh5s_0794.jpg		no	1:20	1:25	80.000	85.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 15:24
QySlMn_E400_4081.jpg		no	1:25	1:30	85.000	90.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 15:24
QySmMk_iPh5s_0798.jpg		no	1:30	1:35	90.000	95.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 15:35
QySmTt_E400_4089.jpg		no	1:35	1:40	95.000	100.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 15:38
QySnDp_E400_4095.jpg		no	1:40	1:45	100.000	105.000	5.000	Bretagne und Normandie Herbst	Vauville	botanischer Garten	17.9.14 (Mi) 15:43
QyWfIh_iPh5s_0804.jpg		no	1:45	1:50	105.000	110.000	5.000	Bretagne und Normandie Herbst	Gratot	Schloss	18.9.14 (Do) 9:46
QyWfJu_iPh5s_0807.jpg		no	1:50	1:55	110.000	115.000	5.000	Bretagne und Normandie Herbst	Gratot	Schloss	18.9.14 (Do) 9:47
QyWfPo_E400_4105.jpg		no	1:55	2:00	115.000	120.000	5.000	Bretagne und Normandie Herbst	Gratot	Schloss	18.9.14 (Do) 9:50
QyWiLy_iPh5s_0813.jpg		no	2:00	2:05	120.000	125.000	5.000	Bretagne und Normandie Herbst	Coutances	botanischer Garten	18.9.14 (Do) 10:22
