###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
aaa_LkCrK_WebDl_1001.jpg		no	0:00	0:05	0.000	5.000	5.000	Brücke über den Öresund	Malmö	Bunkeflostrand	14.5.16 (Sa) 18:25
KeNyH_E400_5380.jpg		no	0:05	0:10	5.000	10.000	5.000	Spaziergang im Stadtwald von Grossalmerode	Grossalmerode	Zentrum	8.5.16 (So) 8:18
KeOfW_E400_5390.jpg		no	0:10	0:15	10.000	15.000	5.000	Spaziergang im Stadtwald von Grossalmerode	Grossalmerode	Zentrum	8.5.16 (So) 8:21
KeRjT_E400_5423.jpg		no	0:15	0:20	15.000	20.000	5.000	Spaziergang im Fahrbachtal von Grossalmerode	Grossalmerode	Zentrum	8.5.16 (So) 8:56
KeVdO_E400_5429.jpg		no	0:20	0:25	20.000	25.000	5.000	Stadtmitte von Grossalmerode	Grossalmerode	Zentrum	8.5.16 (So) 9:39
KjIbM_iPh5s_1601.jpg		no	0:25	0:30	25.000	30.000	5.000	Auf dem Morgenspaziergang nahe Laatzen bei Hannover	Hannover	Laatzen	9.5.16 (Mo) 7:36
KqXeI_E400_5437.jpg		no	0:30	0:35	30.000	35.000	5.000	Abendspaziergang am Hülltofter Tief beim Nolde-Museum in Seebüll	Niebüll	Seebüll	10.5.16 (Di) 20:37
KqYpX_E400_5472.jpg		no	0:35	0:40	35.000	40.000	5.000	Abendspaziergang am Hülltofter Tief beim Nolde-Museum in Seebüll	Niebüll	Seebüll	10.5.16 (Di) 20:53
KqZdG_E400_5483.jpg		no	0:40	0:45	40.000	45.000	5.000	Abendspaziergang am Hülltofter Tief beim Nolde-Museum in Seebüll	Niebüll	Seebüll	10.5.16 (Di) 20:59
KqZgQ_E400_5484.jpg		no	0:45	0:50	45.000	50.000	5.000	Abendspaziergang am Hülltofter Tief beim Nolde-Museum in Seebüll	Niebüll	Seebüll	10.5.16 (Di) 21:00
KtSlH_E400_5486.jpg		no	0:50	0:55	50.000	55.000	5.000	Frühstück im Emil-Nolde-Museum in Seebüll	Niebüll	Seebüll	11.5.16 (Mi) 10:22
KuGbM_E400_5494.jpg		no	0:55	1:00	55.000	60.000	5.000	Emil-Nolde-Museum in Seebüll	Niebüll	Seebüll	11.5.16 (Mi) 12:56
KuGdN_E400_5496.jpg		no	1:00	1:05	60.000	65.000	5.000	Emil-Nolde-Museum in Seebüll	Niebüll	Seebüll	11.5.16 (Mi) 12:57
KuGfX_E400_5499.jpg		no	1:05	1:10	65.000	70.000	5.000	Emil-Nolde-Museum in Seebüll	Niebüll	Seebüll	11.5.16 (Mi) 12:58
KuGlJ_E400_5503.jpg		no	1:10	1:15	70.000	75.000	5.000	Garten des Emil-Nolde-Museums in Seebüll	Niebüll	Seebüll	11.5.16 (Mi) 13:00
KuGtS_E400_5508.jpg		no	1:15	1:20	75.000	80.000	5.000	Garten des Emil-Nolde-Museums in Seebüll	Niebüll	Seebüll	11.5.16 (Mi) 13:04
LeDtH_iPh5s_1832.jpg		no	1:20	1:25	80.000	85.000	5.000	Düne Rubjerg Knude in Nordjütland	Lökken	Rubjerg Knude	13.5.16 (Fr) 13:19
LjCgL_iPh5s_1848.jpg		no	1:25	1:30	85.000	90.000	5.000	Brücke vom Festland von Dänemark zur Insel Fünen	Middelfart	Stavrby	14.5.16 (Sa) 13:27
LjTuQ_WebDl_1000.jpg		no	1:30	1:35	90.000	95.000	5.000	Brücke über den Storebelt	Nyborg	Storebelt	14.5.16 (Sa) 16:45
LkCrK_WebDl_1001.jpg		no	1:35	1:40	95.000	100.000	5.000	Brücke über den Öresund	Malmö	Bunkeflostrand	14.5.16 (Sa) 18:25
LoNrN_iPh5s_1851.jpg		no	1:40	1:45	100.000	105.000	5.000	Ales Stenar (Schiffssetzung) bei Ystad in Südschweden	Ystad	Käseberga	15.5.16 (So) 16:00
LsAeD_iPh5s_1854.jpg		no	1:45	1:50	105.000	110.000	5.000	Wehrturm Glimmingehus in Südschweden	Simrishamns	Glimmingehus	16.5.16 (Mo) 9:00
LtMkO_E400_5533.jpg		no	1:50	1:55	110.000	115.000	5.000	Park des Schlosses Bäckaskog nahe Kristianstad in Südschweden	Kristianstad	Schloss Bäckaskog	16.5.16 (Mo) 16:11
LtOjH_E400_5546.jpg		no	1:55	2:00	115.000	120.000	5.000	Park des Schlosses Bäckaskog nahe Kristianstad in Südschweden	Kristianstad	Schloss Bäckaskog	16.5.16 (Mo) 16:33
LwVqR_iPh5s_1858.jpg		no	2:00	2:05	120.000	125.000	5.000	Interessante Infotafel an einem Naturschutzgebiet Südschweden	Karlshamn	Hoka	17.5.16 (Di) 8:33
LxFlP_iPh5s_1859.jpg		no	2:05	2:10	125.000	130.000	5.000	Marktplatz von Karlskrona in Südschweden	Karlskrona	Zentrum	17.5.16 (Di) 10:24
LxHlZ_iPh5s_1616.jpg		no	2:10	2:15	130.000	135.000	5.000	Admiralskirche von Karlskrona in Südschweden	Karlskrona	Zentrum	17.5.16 (Di) 10:47
LxHvA_E400_5556.jpg		no	2:15	2:20	135.000	140.000	5.000	Rosenbom vor der Admiralskirche von Karlskrona in Südschweden	Karlskrona	Zentrum	17.5.16 (Di) 10:51
LzBjT_iPh5s_1868.jpg		no	2:20	2:25	140.000	145.000	5.000	An der Ostsee im Värnäs Naturschutzgebiet bei Kalmar	Oxhagen	Värnäs	17.5.16 (Di) 19:24
