###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
aaa_SoMzP_E400_6814.jpg		no	0:00	0:05	0.000	5.000	5.000	Am Jagstursprung bei Walxheim	Ostalbkreis (Aalen)	Unterschneidheim	17.3.17 (Fr) 16:12
SnXiZ_E400_6782.jpg		no	0:05	0:10	5.000	10.000	5.000	Wallfahrtskirche Zöblingen	Ostalbkreis (Aalen)	Unterschneidheim	17.3.17 (Fr) 13:16
SnXoR_E400_6790.jpg		no	0:10	0:15	10.000	15.000	5.000	Wallfahrtskirche Zöblingen	Ostalbkreis (Aalen)	Unterschneidheim	17.3.17 (Fr) 13:18
SnXyO_E400_6793.jpg		no	0:15	0:20	15.000	20.000	5.000	Wallfahrtskirche Zöblingen	Ostalbkreis (Aalen)	Unterschneidheim	17.3.17 (Fr) 13:23
SnYbF_E400_6795.jpg		no	0:20	0:25	20.000	25.000	5.000	Wallfahrtskirche Zöblingen	Ostalbkreis (Aalen)	Unterschneidheim	17.3.17 (Fr) 13:24
SnYcO_E400_6797.jpg		no	0:25	0:30	25.000	30.000	5.000	Wallfahrtskirche Zöblingen	Ostalbkreis (Aalen)	Unterschneidheim	17.3.17 (Fr) 13:24
SnYjN_E400_6802.jpg		no	0:30	0:35	30.000	35.000	5.000	Wallfahrtskirche Zöblingen	Ostalbkreis (Aalen)	Unterschneidheim	17.3.17 (Fr) 13:27
SnYrB_E400_6804.jpg		no	0:35	0:40	35.000	40.000	5.000	Wallfahrtskirche Zöblingen	Ostalbkreis (Aalen)	Unterschneidheim	17.3.17 (Fr) 13:31
SnYuC_E400_6808.jpg		no	0:40	0:45	40.000	45.000	5.000	Wallfahrtskirche Zöblingen	Ostalbkreis (Aalen)	Unterschneidheim	17.3.17 (Fr) 13:32
SoCaQ_E400_6810.jpg		no	0:45	0:50	45.000	50.000	5.000	Wallfahrtskirche Zöblingen	Ostalbkreis (Aalen)	Unterschneidheim	17.3.17 (Fr) 14:09
SoMzL_E400_6813.jpg		no	0:50	0:55	50.000	55.000	5.000	Am Jagstursprung bei Walxheim	Ostalbkreis (Aalen)	Unterschneidheim	17.3.17 (Fr) 16:12
SoMzP_E400_6814.jpg		no	0:55	1:00	55.000	60.000	5.000	Am Jagstursprung bei Walxheim	Ostalbkreis (Aalen)	Unterschneidheim	17.3.17 (Fr) 16:12
SoTmX_E400_6819.jpg		no	1:00	1:05	60.000	65.000	5.000	Blick vom Schloss Ellwangen zur Wallfahrtskirche Schönenberg	Ostalbkreis (Aalen)	Ellwangen (Jagst)	17.3.17 (Fr) 17:26
SoTvV_E400_6820.jpg		no	1:05	1:10	65.000	70.000	5.000	Aufstieg zur Wallfahrtskirche Schönenberg	Ostalbkreis (Aalen)	Ellwangen (Jagst)	17.3.17 (Fr) 17:29
SoUqD_E400_6833.jpg		no	1:10	1:15	70.000	75.000	5.000	Wallfahrtskirche Schönenberg oberhalb Ellwangen	Ostalbkreis (Aalen)	Ellwangen (Jagst)	17.3.17 (Fr) 17:38
SoUsV_E400_6835.jpg		no	1:15	1:20	75.000	80.000	5.000	Wallfahrtskirche Schönenberg oberhalb Ellwangen	Ostalbkreis (Aalen)	Ellwangen (Jagst)	17.3.17 (Fr) 17:39
SoUuI_E400_6838.jpg		no	1:20	1:25	80.000	85.000	5.000	Wallfahrtskirche Schönenberg oberhalb Ellwangen	Ostalbkreis (Aalen)	Ellwangen (Jagst)	17.3.17 (Fr) 17:40
SoUwQ_E400_6839.jpg		no	1:25	1:30	85.000	90.000	5.000	Wallfahrtskirche Schönenberg oberhalb Ellwangen	Ostalbkreis (Aalen)	Ellwangen (Jagst)	17.3.17 (Fr) 17:41
SoUzG_E400_6842.jpg		no	1:30	1:35	90.000	95.000	5.000	Wallfahrtskirche Schönenberg oberhalb Ellwangen	Ostalbkreis (Aalen)	Ellwangen (Jagst)	17.3.17 (Fr) 17:42
SoVbQ_E400_6844.jpg		no	1:35	1:40	95.000	100.000	5.000	Wallfahrtskirche Schönenberg oberhalb Ellwangen	Ostalbkreis (Aalen)	Ellwangen (Jagst)	17.3.17 (Fr) 17:43
SoVxT_E400_6858.jpg		no	1:40	1:45	100.000	105.000	5.000	Wallfahrtskirche Schönenberg oberhalb Ellwangen	Ostalbkreis (Aalen)	Ellwangen (Jagst)	17.3.17 (Fr) 17:53
SoWaM_E400_6861.jpg		no	1:45	1:50	105.000	110.000	5.000	Wallfahrtskirche Schönenberg oberhalb Ellwangen	Ostalbkreis (Aalen)	Ellwangen (Jagst)	17.3.17 (Fr) 17:54
SoWrJ_E400_6866.jpg		no	1:50	1:55	110.000	115.000	5.000	Abendstimmung über Ellwangen	Ostalbkreis (Aalen)	Ellwangen (Jagst)	17.3.17 (Fr) 18:01
SsQqJ_iPh5s_2559.jpg		no	1:55	2:00	115.000	120.000	5.000	Evangelische Stadtkirche Ellwangen	Ostalbkreis (Aalen)	Ellwangen (Jagst)	18.3.17 (Sa) 12:25
SsRlY_iPh5s_2562.jpg		no	2:00	2:05	120.000	125.000	5.000	Kreuzgang der Basilika St. Vitus in Ellwangen	Ostalbkreis (Aalen)	Ellwangen (Jagst)	18.3.17 (Sa) 12:34
SsRnN_iPh5s_2563.jpg		no	2:05	2:10	125.000	130.000	5.000	Kreuzgang der Basilika St. Vitus in Ellwangen	Ostalbkreis (Aalen)	Ellwangen (Jagst)	18.3.17 (Sa) 12:35
SsRrP_iPh5s_2564.jpg		no	2:10	2:15	130.000	135.000	5.000	Basilika St. Vitus in Ellwangen	Ostalbkreis (Aalen)	Ellwangen (Jagst)	18.3.17 (Sa) 12:37
SsRsA_iPh5s_2565.jpg		no	2:15	2:20	135.000	140.000	5.000	Basilika St. Vitus in Ellwangen	Ostalbkreis (Aalen)	Ellwangen (Jagst)	18.3.17 (Sa) 12:37
SwXpJ_E400_6875.jpg		no	2:20	2:25	140.000	145.000	5.000	Historische Altstadt Kirchberg an der Jagst	Landkreis Schwäbisch Hall	Kirchberg an der Jagst	19.3.17 (So) 9:15
