###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
aaa_MzTk_E400_7198.jpg		no	0:00	0:05	0.000	5.000	5.000	Die Eiserne Brücke in Regensburg	Regensburg		23.4.17 (So) 10:24
DzXd_E400_7120.jpg		no	0:05	0:10	5.000	10.000	5.000	Im Park von Dehner im Rain am Lech	Rain am Lech	Gartencenter Dehner	21.4.17 (Fr) 14:29
EaOo_E400_7126.jpg		no	0:10	0:15	10.000	15.000	5.000	Im Park von Dehner im Rain am Lech	Rain am Lech	Gartencenter Dehner	21.4.17 (Fr) 14:37
EaQk_E400_7128.jpg		no	0:15	0:20	15.000	20.000	5.000	Im Park von Dehner im Rain am Lech	Rain am Lech	Gartencenter Dehner	21.4.17 (Fr) 14:38
EnRv_iPh5s_2666.jpg		no	0:20	0:25	20.000	25.000	5.000	Am Stellplatz in Neuburg an der Donau	Neuburg (Donau)		21.4.17 (Fr) 17:05
HrDs_iPh5s_2667.jpg		no	0:25	0:30	25.000	30.000	5.000	Am Stellplatz in Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 8:22
HxIn_E400_7132.jpg		no	0:30	0:35	30.000	35.000	5.000	Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 9:32
HyAs_E400_7134.jpg		no	0:35	0:40	35.000	40.000	5.000	Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 9:40
HyBg_E400_7135.jpg		no	0:40	0:45	40.000	45.000	5.000	Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 9:40
HzCx_E400_7137.jpg		no	0:45	0:50	45.000	50.000	5.000	Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 9:52
HzKj_E400_7138.jpg		no	0:50	0:55	50.000	55.000	5.000	Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 9:55
IaEw_iPh5s_2668.jpg		no	0:55	1:00	55.000	60.000	5.000	Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:04
IaWw_E400_7153.jpg		no	1:00	1:05	60.000	65.000	5.000	Flämischer Meister im Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:12
IaZw_E400_7154.jpg		no	1:05	1:10	65.000	70.000	5.000	Flämischer Meister im Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:13
IbEv_E400_7156.jpg		no	1:10	1:15	70.000	75.000	5.000	Flämischer Meister im Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:16
IbMo_E400_7159.jpg		no	1:15	1:20	75.000	80.000	5.000	Flämischer Meister im Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:19
IbMz_E400_7160.jpg		no	1:20	1:25	80.000	85.000	5.000	Flämischer Meister im Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:19
IbXw_E400_7162.jpg		no	1:25	1:30	85.000	90.000	5.000	Flämischer Meister im Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:24
IcHy_E400_7164.jpg		no	1:30	1:35	90.000	95.000	5.000	Flämischer Meister im Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:28
IcJj_E400_7166.jpg		no	1:35	1:40	95.000	100.000	5.000	Flämischer Meister im Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:29
IcLu_E400_7168.jpg		no	1:40	1:45	100.000	105.000	5.000	Flämischer Meister im Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:30
IcPf_E400_7170.jpg		no	1:45	1:50	105.000	110.000	5.000	Flämischer Meister im Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:31
IcUf_E400_7172.jpg		no	1:50	1:55	110.000	115.000	5.000	Flämischer Meister im Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:33
IcWb_iPh5s_2677.jpg		no	1:55	2:00	115.000	120.000	5.000	Flämischer Meister im Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:34
IcWn_E400_7173.jpg		no	2:00	2:05	120.000	125.000	5.000	Pfarrkirche in Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:34
IcXd_iPh5s_2678.jpg		no	2:05	2:10	125.000	130.000	5.000	Flämischer Meister im Schloss Neuburg an der Donau	Neuburg (Donau)		22.4.17 (Sa) 10:35
