###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
aaa_VuByP_E400_7021.jpg		no	0:00	0:05	0.000	5.000	5.000	Vorboten der Mandelblüte bei Klingenmünster in der Südpfalz	Klingenmünster	Göcklingen	3.4.17 (Mo) 17:14
VnUzL_E400_6965.jpg		no	0:05	0:10	5.000	10.000	5.000	Spaziergang am Rhein bei Mothern im nördlichen Elsaß	Mothern	Am Rhein	2.4.17 (So) 10:38
VnVrL_E400_6969.jpg		no	0:10	0:15	10.000	15.000	5.000	Spaziergang am Rhein bei Mothern im nördlichen Elsaß	Mothern	Am Rhein	2.4.17 (So) 10:46
VnVuY_E400_6974.jpg		no	0:15	0:20	15.000	20.000	5.000	Spaziergang am Rhein bei Mothern im nördlichen Elsaß	Mothern	Am Rhein	2.4.17 (So) 10:47
VnVvC_iPh5s_2590.jpg		no	0:20	0:25	20.000	25.000	5.000	Spaziergang am Rhein bei Mothern im nördlichen Elsaß	Mothern	Am Rhein	2.4.17 (So) 10:48
VnYaU_E400_6982.jpg		no	0:25	0:30	25.000	30.000	5.000	Spaziergang am Rhein bei Mothern im nördlichen Elsaß	Mothern	Am Rhein	2.4.17 (So) 11:13
VnZoT_E400_6987.jpg		no	0:30	0:35	30.000	35.000	5.000	Spaziergang am Rhein bei Mothern im nördlichen Elsaß	Mothern	Am Rhein	2.4.17 (So) 11:30
VoAbR_E400_6998.jpg		no	0:35	0:40	35.000	40.000	5.000	Spaziergang am Rhein bei Mothern im nördlichen Elsaß	Mothern	Am Rhein	2.4.17 (So) 11:35
VpAcY_E400_7003.jpg		no	0:40	0:45	40.000	45.000	5.000	Rheinfähre in der Südpfalz bei Neuburg am Rhein	Neuburg am Rhein	Am Rhein	2.4.17 (So) 16:29
VpCzI_E400_7008.jpg		no	0:45	0:50	45.000	50.000	5.000	Gemütlicher Abend in der Südpfalz bei Neuburg am Rhein	Neuburg am Rhein	Am Rhein	2.4.17 (So) 17:01
VpEoP_E400_7009.jpg		no	0:50	0:55	50.000	55.000	5.000	Gemütlicher Abend in der Südpfalz bei Neuburg am Rhein	Neuburg am Rhein	Am Rhein	2.4.17 (So) 17:19
VsHjD_E400_7015.jpg		no	0:55	1:00	55.000	60.000	5.000	Morgenspaziergang in der Südpfalz bei Neuburg am Rhein	Neuburg am Rhein	Rheinfähre	3.4.17 (Mo) 8:29
VsIhM_E400_7017.jpg		no	1:00	1:05	60.000	65.000	5.000	Morgenspaziergang in der Südpfalz bei Neuburg am Rhein	Neuburg am Rhein	Rheinfähre	3.4.17 (Mo) 8:40
VuBwY_E400_7019.jpg		no	1:05	1:10	65.000	70.000	5.000	Vorboten der Mandelblüte bei Klingenmünster in der Südpfalz	Klingenmünster	Göcklingen	3.4.17 (Mo) 17:14
VuByP_E400_7021.jpg		no	1:10	1:15	70.000	75.000	5.000	Vorboten der Mandelblüte bei Klingenmünster in der Südpfalz	Klingenmünster	Göcklingen	3.4.17 (Mo) 17:14
VxAvF_iPh5s_2603.jpg		no	1:15	1:20	75.000	80.000	5.000	Morgenspaziergang bei Edenkoben in der Südpfalz	Edenkoben		4.4.17 (Di) 7:40
VxCfF_E400_7032.jpg		no	1:20	1:25	80.000	85.000	5.000	Villa Ludwigshöhe bei Edenkoben in der Südpfalz	Edenkoben	Rhodt unter Rietburg	4.4.17 (Di) 7:56
VxDuQ_E400_7035.jpg		no	1:25	1:30	85.000	90.000	5.000	Morgenspaziergang bei Edenkoben in der Südpfalz	Edenkoben	Rhodt unter Rietburg	4.4.17 (Di) 8:14
VxNmN_E400_7042.jpg		no	1:30	1:35	90.000	95.000	5.000	Der Dom zu Speyer	Speyer		4.4.17 (Di) 10:03
VxNuJ_E400_7044.jpg		no	1:35	1:40	95.000	100.000	5.000	Vespa mit Anhänger beim Dom zu Speyer	Speyer		4.4.17 (Di) 10:06
VxOeO_E400_7047.jpg		no	1:40	1:45	100.000	105.000	5.000	Der Dom zu Speyer	Speyer		4.4.17 (Di) 10:11
VxOgN_E400_7048.jpg		no	1:45	1:50	105.000	110.000	5.000	Der Dom zu Speyer	Speyer		4.4.17 (Di) 10:12
VxRrX_E400_7058.jpg		no	1:50	1:55	110.000	115.000	5.000	Im Dom zu Speyer	Speyer		4.4.17 (Di) 10:50
VxRuX_E400_7060.jpg		no	1:55	2:00	115.000	120.000	5.000	Im Dom zu Speyer	Speyer		4.4.17 (Di) 10:52
VxRyL_E400_7064.jpg		no	2:00	2:05	120.000	125.000	5.000	Im Dom zu Speyer	Speyer		4.4.17 (Di) 10:53
VxScX_E400_7066.jpg		no	2:05	2:10	125.000	130.000	5.000	Im Dom zu Speyer	Speyer		4.4.17 (Di) 10:55
VxSiM_E400_7069.jpg		no	2:10	2:15	130.000	135.000	5.000	Im Dom zu Speyer	Speyer		4.4.17 (Di) 10:58
VxSjN_E400_7070.jpg		no	2:15	2:20	135.000	140.000	5.000	Im Dom zu Speyer	Speyer		4.4.17 (Di) 10:58
VxSlR_E400_7072.jpg		no	2:20	2:25	140.000	145.000	5.000	Im Dom zu Speyer	Speyer		4.4.17 (Di) 10:59
VxSmR_E400_7073.jpg		no	2:25	2:30	145.000	150.000	5.000	Im Dom zu Speyer	Speyer		4.4.17 (Di) 10:59
VxSqD_iPh5s_2605.jpg		no	2:30	2:35	150.000	155.000	5.000	Tiefblick vom Südwestturm des Doms zu Speyer	Speyer		4.4.17 (Di) 11:01
VxSrZ_iPh5s_2607.jpg		no	2:35	2:40	155.000	160.000	5.000	Tiefblick vom Südwestturm des Doms zu Speyer	Speyer		4.4.17 (Di) 11:02
VxSuE_iPh5s_2609.jpg		no	2:40	2:45	160.000	165.000	5.000	Tiefblick vom Südwestturm des Doms zu Speyer	Speyer		4.4.17 (Di) 11:03
VxSwZ_iPh5s_2611.jpg		no	2:45	2:50	165.000	170.000	5.000	Tiefblick vom Südwestturm des Doms zu Speyer	Speyer		4.4.17 (Di) 11:04
VxUxU_E400_7083.jpg		no	2:50	2:55	170.000	175.000	5.000	Im Dom zu Speyer	Speyer		4.4.17 (Di) 11:27
VxVcW_E400_7085.jpg		no	2:55	3:00	175.000	180.000	5.000	Im Dom zu Speyer	Speyer		4.4.17 (Di) 11:29
