###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
aaa_DxWgE_E400_7466.jpg		no	0:00	0:05	0.000	5.000	5.000	An der Gierseilfähre über die Elbe bei Werben	Stendal	Werben (Elbe)	15.5.17 (Mo) 19:12
CdOkC_E400_7283.jpg		no	0:05	0:10	5.000	10.000	5.000	Blick von Schloss Ellwangen zur Wallfahrtskirche Schönenberg	Ostalbkreis	Ellwangen	6.5.17 (Sa) 9:08
CdOkY_E400_7284.jpg		no	0:10	0:15	10.000	15.000	5.000	Blick von Schloss Ellwangen zur Wallfahrtskirche Schönenberg	Ostalbkreis	Ellwangen	6.5.17 (Sa) 9:09
CdOoN_E400_7287.jpg		no	0:15	0:20	15.000	20.000	5.000	Blick von Schloss Ellwangen zur Wallfahrtskirche Schönenberg	Ostalbkreis	Ellwangen	6.5.17 (Sa) 9:10
CdOyK_E400_7292.jpg		no	0:20	0:25	20.000	25.000	5.000	Janos an Schloss Ellwangen	Ostalbkreis	Ellwangen	6.5.17 (Sa) 9:15
CdPbS_E400_7294.jpg		no	0:25	0:30	25.000	30.000	5.000	Blick von Schloss Ellwangen zur Wallfahrtskirche Schönenberg	Ostalbkreis	Ellwangen	6.5.17 (Sa) 9:16
CdTpW_E400_7301.jpg		no	0:30	0:35	30.000	35.000	5.000	Blick von Schloss auf Ellwangen	Ostalbkreis	Ellwangen	6.5.17 (Sa) 10:07
CdTrR_E400_7303.jpg		no	0:35	0:40	35.000	40.000	5.000	Am Schloss Ellwangen	Ostalbkreis	Ellwangen	6.5.17 (Sa) 10:08
CdTxI_E400_7305.jpg		no	0:40	0:45	40.000	45.000	5.000	Im Schloss Ellwangen	Ostalbkreis	Ellwangen	6.5.17 (Sa) 10:10
CdUbL_E400_7307.jpg		no	0:45	0:50	45.000	50.000	5.000	Im Schlossmuseum Ellwangen	Ostalbkreis	Ellwangen	6.5.17 (Sa) 10:12
CdUrF_E400_7310.jpg		no	0:50	0:55	50.000	55.000	5.000	Im Schlossmuseum Ellwangen	Ostalbkreis	Ellwangen	6.5.17 (Sa) 10:19
CdUsA_E400_7311.jpg		no	0:55	1:00	55.000	60.000	5.000	Im Schlossmuseum Ellwangen	Ostalbkreis	Ellwangen	6.5.17 (Sa) 10:19
CdUtO_E400_7313.jpg		no	1:00	1:05	60.000	65.000	5.000	Im Schlossmuseum Ellwangen	Ostalbkreis	Ellwangen	6.5.17 (Sa) 10:20
CdVoZ_E400_7315.jpg		no	1:05	1:10	65.000	70.000	5.000	Im Schlossmuseum Ellwangen	Ostalbkreis	Ellwangen	6.5.17 (Sa) 10:29
CdWdY_E400_7323.jpg		no	1:10	1:15	70.000	75.000	5.000	Im Schlossmuseum Ellwangen	Ostalbkreis	Ellwangen	6.5.17 (Sa) 10:36
CdXgQ_E400_7330.jpg		no	1:15	1:20	75.000	80.000	5.000	Im Schlossmuseum Ellwangen	Ostalbkreis	Ellwangen	6.5.17 (Sa) 10:48
CdXpP_E400_7331.jpg		no	1:20	1:25	80.000	85.000	5.000	Im Schlossmuseum Ellwangen	Ostalbkreis	Ellwangen	6.5.17 (Sa) 10:52
CdYuX_E400_7333.jpg		no	1:25	1:30	85.000	90.000	5.000	Am Schloss Ellwangen	Ostalbkreis	Ellwangen	6.5.17 (Sa) 11:06
CiOnD_iPh5s_2716.jpg		no	1:30	1:35	90.000	95.000	5.000	Im Park von Schlitz an der Schlitz nördlich von Fulda	Vogelsbergkreis	Schlitz	7.5.17 (So) 9:34
CsSlM_iPh5s_2721.jpg		no	1:35	1:40	95.000	100.000	5.000	Janos nach der Augenoperation	Hannover	Laatzen	9.5.17 (Di) 11:08
