###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
aaa_FhKm_iPh5s_3257.jpg		no	0:00	0:05	0.000	5.000	5.000	Grabkreuze bei der Wallfahrtskappele Gschnaidt bei Altusried	Altusried	Gschnaidt	4.9.17 (Mo) 9:10
CfFr_iPh5s_3253.jpg		no	0:05	0:10	5.000	10.000	5.000	Grabkreuze bei der Wallfahrtskappele Gschnaidt bei Altusried	Altusried	Gschnaidt	3.9.17 (So) 18:06
CmGl_iPh5s_3254.jpg		no	0:10	0:15	10.000	15.000	5.000	Abendstimmung in Gschnaidt bei Altusried	Altusried	Gschnaidt	3.9.17 (So) 19:25
FhFl_iPh5s_3255.jpg		no	0:15	0:20	15.000	20.000	5.000	Uralter Baum nach Windwurf in Gschnaidt bei Altusried	Altusried	Gschnaidt	4.9.17 (Mo) 9:08
FhJw_iPh5s_3256.jpg		no	0:20	0:25	20.000	25.000	5.000	Grabkreuze bei der Wallfahrtskappele Gschnaidt bei Altusried	Altusried	Gschnaidt	4.9.17 (Mo) 9:09
FhKm_iPh5s_3257.jpg		no	0:25	0:30	25.000	30.000	5.000	Grabkreuze bei der Wallfahrtskappele Gschnaidt bei Altusried	Altusried	Gschnaidt	4.9.17 (Mo) 9:10
FyIs_E400_8205.jpg		no	0:30	0:35	30.000	35.000	5.000	Aufstieg zur Prodelalp bei Steibis	Oberstaufen	Steibis	4.9.17 (Mo) 12:20
GbSx_E400_8207.jpg		no	0:35	0:40	35.000	40.000	5.000	Die Prodelalphütte bei Steibis	Oberstaufen	Steibis	4.9.17 (Mo) 12:59
GbWi_E400_8209.jpg		no	0:40	0:45	40.000	45.000	5.000	Die Prodelalphütte bei Steibis	Oberstaufen	Steibis	4.9.17 (Mo) 13:00
GbWr_E400_8210.jpg		no	0:45	0:50	45.000	50.000	5.000	Die Prodelalphütte bei Steibis	Oberstaufen	Steibis	4.9.17 (Mo) 13:00
GcAx_E400_8214.jpg		no	0:50	0:55	50.000	55.000	5.000	Die Prodelalphütte bei Steibis	Oberstaufen	Steibis	4.9.17 (Mo) 13:02
GcDs_E400_8215.jpg		no	0:55	1:00	55.000	60.000	5.000	Schumpen auf der Prodelalp bei Steibis	Oberstaufen	Steibis	4.9.17 (Mo) 13:03
