###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
000_AxTaTj_E400_0586.jpg		no	0:00	0:05	0.000	5.000	5.000	Glückliche Pferde an der Nordwestküste der Bretagne bei Tremazan	Landunvez	Tremazan	23.5.18 (Mi) 15:09
AvKlPd_iPhSE_0194.jpg		no	0:05	0:10	5.000	10.000	5.000	An unserem Lieblingsplatz bei Remich an der Mosel	Remich	Kleinmacher	11.5.18 (Fr) 7:22
AvUzAl_iPhSE_0197.jpg		no	0:10	0:15	10.000	15.000	5.000	Rathaus von Saint-Nicolas-d Aliermont	Saint-Nicolas-d Aliermont	Stadtmitte	13.5.18 (So) 10:43
AvUzPs_iPhSE_0200.jpg		no	0:15	0:20	15.000	20.000	5.000	Oldtimertreffen in Saint-Nicolas-d Aliermont	Saint-Nicolas-d Aliermont	Stadtmitte	13.5.18 (So) 10:50
AvUzSu_iPhSE_0202.jpg		no	0:20	0:25	20.000	25.000	5.000	Oldtimertreffen in Saint-Nicolas-d Aliermont	Saint-Nicolas-d Aliermont	Stadtmitte	13.5.18 (So) 10:51
AvVaFl_iPhSE_0190.mp4		yes	0:25	0:43	25.000	42.618	17.618	Oldtimertreffen in Saint-Nicolas-d Aliermont	Saint-Nicolas-d Aliermont	Stadtmitte	13.5.18 (So) 10:56
AvVaGs_iPhSE_0191.mp4		yes	0:43	0:54	42.618	54.396	11.778	Oldtimertreffen in Saint-Nicolas-d Aliermont	Saint-Nicolas-d Aliermont	Stadtmitte	13.5.18 (So) 10:57
AvVaHu_iPhSE_0192.mp4		yes	0:54	1:30	54.396	89.898	35.502	Oldtimertreffen in Saint-Nicolas-d Aliermont	Saint-Nicolas-d Aliermont	Stadtmitte	13.5.18 (So) 10:57
AvVaMw_iPhSE_0193.mp4		yes	1:30	2:02	89.898	121.930	32.032	Oldtimertreffen in Saint-Nicolas-d Aliermont	Saint-Nicolas-d Aliermont	Stadtmitte	13.5.18 (So) 11:00
AvXaDe_E400_0236.jpg		no	2:02	2:07	121.930	126.930	5.000	Am sehr ruhigen Rastplatz über Osmoy-Saint-Valery	Osmoy-Saint-Valery	Aussichtspunkt	13.5.18 (So) 20:41
AwAvOh_E400_0241.jpg		no	2:07	2:12	126.930	131.930	5.000	Im Garten le Bois des Moutiers in Varengeville-sur-Mer	Varengeville-sur-Mer	Jardin de Moutiers	14.5.18 (Mo) 15:21
AwAvVf_E400_0245.jpg		no	2:12	2:17	131.930	136.930	5.000	Im Garten le Bois des Moutiers in Varengeville-sur-Mer	Varengeville-sur-Mer	Jardin de Moutiers	14.5.18 (Mo) 15:24
AwAvYi_E400_0248.jpg		no	2:17	2:22	136.930	141.930	5.000	Im Garten le Bois des Moutiers in Varengeville-sur-Mer	Varengeville-sur-Mer	Jardin de Moutiers	14.5.18 (Mo) 15:26
AwAwEn_E400_0252.jpg		no	2:22	2:27	141.930	146.930	5.000	Im Garten le Bois des Moutiers in Varengeville-sur-Mer	Varengeville-sur-Mer	Jardin de Moutiers	14.5.18 (Mo) 15:29
AwAwLs_E400_0259.jpg		no	2:27	2:32	146.930	151.930	5.000	Im Garten le Bois des Moutiers in Varengeville-sur-Mer	Varengeville-sur-Mer	Jardin de Moutiers	14.5.18 (Mo) 15:32
AwAxAt_E400_0266.jpg		no	2:32	2:37	151.930	156.930	5.000	Im Garten le Bois des Moutiers in Varengeville-sur-Mer	Varengeville-sur-Mer	Jardin de Moutiers	14.5.18 (Mo) 15:38
AwAxIa_E400_0270.jpg		no	2:37	2:42	156.930	161.930	5.000	Im Garten le Bois des Moutiers in Varengeville-sur-Mer	Varengeville-sur-Mer	Jardin de Moutiers	14.5.18 (Mo) 15:41
AwAyEn_iPhSE_0209.mp4		yes	2:42	2:55	161.930	175.010	13.080	Im Garten le Bois des Moutiers in Varengeville-sur-Mer	Varengeville-sur-Mer	Jardin de Moutiers	14.5.18 (Mo) 15:51
AwAzJi_E400_0307.jpg		no	2:55	3:00	175.010	180.010	5.000	Im Garten le Bois des Moutiers in Varengeville-sur-Mer	Varengeville-sur-Mer	Jardin de Moutiers	14.5.18 (Mo) 16:04
AwAzLw_E400_0310.jpg		no	3:00	3:05	180.010	185.010	5.000	Im Garten le Bois des Moutiers in Varengeville-sur-Mer	Varengeville-sur-Mer	Jardin de Moutiers	14.5.18 (Mo) 16:06
AwBbKi_E400_0336.jpg		no	3:05	3:10	185.010	190.010	5.000	Im Garten le Bois des Moutiers in Varengeville-sur-Mer	Varengeville-sur-Mer	Jardin de Moutiers	14.5.18 (Mo) 16:27
AwBePi_E400_0387.jpg		no	3:10	3:15	190.010	195.010	5.000	Im Garten le Bois des Moutiers in Varengeville-sur-Mer	Varengeville-sur-Mer	Jardin de Moutiers	14.5.18 (Mo) 17:03
AwErSg_E400_0391.jpg		no	3:15	3:20	195.010	200.010	5.000	An der Küste bei in Sotteville-sur-Mer in der Normandie	Sotteville-sur-Mer	Steilküste	15.5.18 (Di) 10:10
AwEtZu_E400_0398.jpg		no	3:20	3:25	200.010	205.010	5.000	An der Küste bei in Sotteville-sur-Mer in der Normandie	Sotteville-sur-Mer	Steilküste	15.5.18 (Di) 10:36
AwExXe_E400_0402.jpg		no	3:25	3:30	205.010	210.010	5.000	An der Küste bei in Veules-les-Roses in der Normandie	Veules-les-Roses	Steilküste	15.5.18 (Di) 11:20
AwGpWs_E400_0407.jpg		no	3:30	3:35	210.010	215.010	5.000	Am Strand bei Bruneville nahe Etretat in der Normandie	Bruneville	Saint Jouin	15.5.18 (Di) 19:35
AwQeOy_E400_0413.jpg		no	3:35	3:40	215.010	220.010	5.000	Die Bucht von Brehec bei Saint-Paul	Plouezec	Plouha	17.5.18 (Do) 18:17
AwQfIo_iPhSE_0250.jpg		no	3:40	3:45	220.010	225.010	5.000	Die Bucht von Brehec bei Saint-Paul	Plouezec	Plouha	17.5.18 (Do) 18:26
AwTpYw_E400_0420.jpg		no	3:45	3:50	225.010	230.010	5.000	Am Pointe de Minard bei Saint-Paul	Plouezec	Pointe de Minard	18.5.18 (Fr) 11:04
AwUmAx_E400_0433.jpg		no	3:50	3:55	230.010	235.010	5.000	Im Garten Kerdalo bei Treguier	Treguier	Kerdalo	18.5.18 (Fr) 15:13
AwUmPd_E400_0441.jpg		no	3:55	4:00	235.010	240.010	5.000	Im Garten Kerdalo bei Treguier	Treguier	Kerdalo	18.5.18 (Fr) 15:19
AwUoNy_E400_0454.jpg		no	4:00	4:05	240.010	245.010	5.000	Im Garten Kerdalo bei Treguier	Treguier	Kerdalo	18.5.18 (Fr) 15:41
AwUoSz_E400_0456.jpg		no	4:05	4:10	245.010	250.010	5.000	Im Garten Kerdalo bei Treguier	Treguier	Kerdalo	18.5.18 (Fr) 15:43
AwUoZy_E400_0458.jpg		no	4:10	4:15	250.010	255.010	5.000	Im Garten Kerdalo bei Treguier	Treguier	Kerdalo	18.5.18 (Fr) 15:46
AwUqFm_E400_0474.jpg		no	4:15	4:20	255.010	260.010	5.000	Im Garten Kerdalo bei Treguier	Treguier	Kerdalo	18.5.18 (Fr) 16:00
AwUrMh_E400_0483.jpg		no	4:20	4:25	260.010	265.010	5.000	Im Garten Kerdalo bei Treguier	Treguier	Kerdalo	18.5.18 (Fr) 16:14
AwUrMq_E400_0484.jpg		no	4:25	4:30	265.010	270.010	5.000	Im Garten Kerdalo bei Treguier	Treguier	Kerdalo	18.5.18 (Fr) 16:14
AwUsAb_E400_0491.jpg		no	4:30	4:35	270.010	275.010	5.000	Im Garten Kerdalo bei Treguier	Treguier	Kerdalo	18.5.18 (Fr) 16:20
AwUsTd_E400_0494.jpg		no	4:35	4:40	275.010	280.010	5.000	Im Garten Kerdalo bei Treguier	Treguier	Kerdalo	18.5.18 (Fr) 16:28
AwUtKu_E400_0500.jpg		no	4:40	4:45	280.010	285.010	5.000	Im Garten Kerdalo bei Treguier	Treguier	Kerdalo	18.5.18 (Fr) 16:36
AxAsWq_E400_0519.jpg		no	4:45	4:50	285.010	290.010	5.000	Abendstimmung an der Küste bei Guimaec	Guimaec	Küstenstraße	19.5.18 (Sa) 21:48
AxDeOl_iPhSE_0267.jpg		no	4:50	4:55	290.010	295.010	5.000	Morgenspaziergang an der Küste bei Guimaec	Guimaec	Küstenstraße	20.5.18 (So) 9:45
AxDoVi_iPhSE_0269.jpg		no	4:55	5:00	295.010	300.010	5.000	Am Pointe de Locquirec	Locquirec	Pointe de Locquirec	20.5.18 (So) 11:41
AxHxBo_iPhSE_0285.jpg		no	5:00	5:05	300.010	305.010	5.000	Janos beim Morgenspaziergang an der Küste bei Guimaec	Guimaec	Küstenstraße	21.5.18 (Mo) 8:45
AxIhVg_iPhSE_0286.jpg		no	5:05	5:10	305.010	310.010	5.000	Guimaec bei Locquirec in der Bretagne	Guimaec		21.5.18 (Mo) 10:47
AxKmNu_E400_0530.jpg		no	5:10	5:15	310.010	315.010	5.000	Abendstimmung an der Küste bei Guimaec	Guimaec	Küstenstraße	21.5.18 (Mo) 21:25
AxTaKn_E400_0541.jpg		no	5:15	5:20	315.010	320.010	5.000	Glückliche Pferde an der Nordwestküste der Bretagne bei Tremazan	Landunvez	Tremazan	23.5.18 (Mi) 15:05
AxTaNg_E400_0553.jpg		no	5:20	5:25	320.010	325.010	5.000	An der Nordwestküste der Bretagne bei Tremazan	Landunvez	Tremazan	23.5.18 (Mi) 15:06
AxTaPa_E400_0557.jpg		no	5:25	5:30	325.010	330.010	5.000	Glückliche Pferde an der Nordwestküste der Bretagne bei Tremazan	Landunvez	Tremazan	23.5.18 (Mi) 15:07
AxTaTj_E400_0586.jpg		no	5:30	5:35	330.010	335.010	5.000	Glückliche Pferde an der Nordwestküste der Bretagne bei Tremazan	Landunvez	Tremazan	23.5.18 (Mi) 15:09
AxTbCj_E400_0601.jpg		no	5:35	5:40	335.010	340.010	5.000	An der Nordwestküste der Bretagne bei Tremazan	Landunvez	Tremazan	23.5.18 (Mi) 15:13
AxTbLz_E400_0615.jpg		no	5:40	5:45	340.010	345.010	5.000	Janos an der Nordwestküste der Bretagne bei Tremazan	Landunvez	Tremazan	23.5.18 (Mi) 15:17
AxTbPw_E400_0617.jpg		no	5:45	5:50	345.010	350.010	5.000	Möwe an der Nordwestküste der Bretagne bei Tremazan	Landunvez	Tremazan	23.5.18 (Mi) 15:19
AxTcBu_E400_0636.jpg		no	5:50	5:55	350.010	355.010	5.000	Möwe an der Nordwestküste der Bretagne bei Tremazan	Landunvez	Tremazan	23.5.18 (Mi) 15:24
AxUjWd_E400_0642.jpg		no	5:55	6:00	355.010	360.010	5.000	Abendstimmung an der Nordwestküste der Bretagne bei Kerhoazoc	Landunvez	Kerhoazoc	23.5.18 (Mi) 21:45
AxUjYm_E400_0644.jpg		no	6:00	6:05	360.010	365.010	5.000	Abendstimmung an der Nordwestküste der Bretagne bei Kerhoazoc	Landunvez	Kerhoazoc	23.5.18 (Mi) 21:46
AxUkBu_E400_0649.jpg		no	6:05	6:10	365.010	370.010	5.000	Abendstimmung an der Nordwestküste der Bretagne bei Kerhoazoc	Landunvez	Kerhoazoc	23.5.18 (Mi) 21:47
AxUlCg_E400_0663.jpg		no	6:10	6:15	370.010	375.010	5.000	Abendstimmung an der Nordwestküste der Bretagne bei Kerhoazoc	Landunvez	Kerhoazoc	23.5.18 (Mi) 21:59
AxWzKf_iPhSE_0301.jpg		no	6:15	6:20	375.010	380.010	5.000	Janos an der Nordwestküste der Bretagne bei Kerhoazoc	Landunvez	Kerhoazoc	24.5.18 (Do) 10:26
AxXaJj_E400_0677.jpg		no	6:20	6:25	380.010	385.010	5.000	An der Nordwestküste der Bretagne bei Kerhoazoc	Landunvez	Kerhoazoc	24.5.18 (Do) 10:36
