###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
000_LeWiK_iPhSE_6373.jpg		no	0:00	0:05	0.000	5.000	5.000	Morgenspaziergang am Spitalweiher bei Regen in Allersberg	Allersberg	Spitalweiher	7.6.20 (So) 9:01
KvVjB_E400_6260.jpg		no	0:05	0:10	5.000	10.000	5.000	Die Wallfahrtskirche Maria Brünnlein bei Wemding	Wemding	Maria Brünnlein	5.6.20 (Fr) 12:53
KvVsU_E400_6265.jpg		no	0:10	0:15	10.000	15.000	5.000	In der Wallfahrtskirche Maria Brünnlein bei Wemding	Wemding	Maria Brünnlein	5.6.20 (Fr) 12:57
KvVtK_E400_6266.jpg		no	0:15	0:20	15.000	20.000	5.000	In der Wallfahrtskirche Maria Brünnlein bei Wemding	Wemding	Maria Brünnlein	5.6.20 (Fr) 12:58
KvVyE_E400_6270.jpg		no	0:20	0:25	20.000	25.000	5.000	In der Wallfahrtskirche Maria Brünnlein bei Wemding	Wemding	Maria Brünnlein	5.6.20 (Fr) 13:00
KvVyY_E400_6271.jpg		no	0:25	0:30	25.000	30.000	5.000	In der Wallfahrtskirche Maria Brünnlein bei Wemding	Wemding	Maria Brünnlein	5.6.20 (Fr) 13:00
KvWcN_E400_6276.jpg		no	0:30	0:35	30.000	35.000	5.000	In der Wallfahrtskirche Maria Brünnlein bei Wemding	Wemding	Maria Brünnlein	5.6.20 (Fr) 13:02
KvWgB_E400_6279.jpg		no	0:35	0:40	35.000	40.000	5.000	In der Wallfahrtskirche Maria Brünnlein bei Wemding	Wemding	Maria Brünnlein	5.6.20 (Fr) 13:03
KvWmB_E400_6281.jpg		no	0:40	0:45	40.000	45.000	5.000	In der Wallfahrtskirche Maria Brünnlein bei Wemding	Wemding	Maria Brünnlein	5.6.20 (Fr) 13:06
KvWxD_iPhSE_2728.mp4		no	0:45	1:01	45.000	61.216	16.216	In der Wallfahrtskirche Maria Brünnlein bei Wemding	Wemding	Maria Brünnlein	5.6.20 (Fr) 13:11
KvWyN_iPhSE_2729.mp4		yes	1:01	1:09	61.216	68.739	7.523	In der Wallfahrtskirche Maria Brünnlein bei Wemding	Wemding	Maria Brünnlein	5.6.20 (Fr) 13:11
KvXaA_E400_6282.jpg		no	1:09	1:14	68.739	73.739	5.000	In der Wallfahrtskirche Maria Brünnlein bei Wemding	Wemding	Maria Brünnlein	5.6.20 (Fr) 13:12
KvXfI_E400_6283.jpg		no	1:14	1:19	73.739	78.739	5.000	Die Wallfahrtskirche Maria Brünnlein bei Wemding	Wemding	Maria Brünnlein	5.6.20 (Fr) 13:14
KwOaZ_E400_6289.jpg		no	1:19	1:24	78.739	83.739	5.000	Spaziergang auf dem gelben Berg bei Heidenheim südlich von Treuchlingen	Heidenheim	Gelber Berg	5.6.20 (Fr) 16:24
KwObH_E400_6293.jpg		no	1:24	1:29	83.739	88.739	5.000	Spaziergang auf dem gelben Berg bei Heidenheim südlich von Treuchlingen	Heidenheim	Gelber Berg	5.6.20 (Fr) 16:24
KwObX_E400_6296.jpg		no	1:29	1:34	88.739	93.739	5.000	Spaziergang auf dem gelben Berg bei Heidenheim südlich von Treuchlingen	Heidenheim	Gelber Berg	5.6.20 (Fr) 16:24
KwOcB_E400_6298.jpg		no	1:34	1:39	93.739	98.739	5.000	Spaziergang auf dem gelben Berg bei Heidenheim südlich von Treuchlingen	Heidenheim	Gelber Berg	5.6.20 (Fr) 16:24
KwOgE_E400_6305.jpg		no	1:39	1:44	98.739	103.739	5.000	Spaziergang auf dem gelben Berg bei Heidenheim südlich von Treuchlingen	Heidenheim	Gelber Berg	5.6.20 (Fr) 16:26
KwOhA_E400_6310.jpg		no	1:44	1:49	103.739	108.739	5.000	Spaziergang auf dem gelben Berg bei Heidenheim südlich von Treuchlingen	Heidenheim	Gelber Berg	5.6.20 (Fr) 16:26
KxIuL_E400_6318.jpg		no	1:49	1:54	108.739	113.739	5.000	Die Burg Pappenheim	Pappenheim		5.6.20 (Fr) 20:18
KxIyC_E400_6320.jpg		no	1:54	1:59	113.739	118.739	5.000	Die Burg Pappenheim	Pappenheim		5.6.20 (Fr) 20:19
LaTzC_E400_6324.jpg		no	1:59	2:04	118.739	123.739	5.000	Wanderung um die Burg Kipfenberg im Altmühltal	Kipfenberg		6.6.20 (Sa) 13:02
LaVeY_E400_6329.jpg		no	2:04	2:09	123.739	128.739	5.000	Wanderung um die Burg Kipfenberg im Altmühltal	Kipfenberg		6.6.20 (Sa) 13:16
LaVrX_E400_6335.jpg		no	2:09	2:14	128.739	133.739	5.000	Wanderung um die Burg Kipfenberg im Altmühltal	Kipfenberg		6.6.20 (Sa) 13:22
LeWiK_iPhSE_6373.jpg		no	2:14	2:19	133.739	138.739	5.000	Morgenspaziergang am Spitalweiher bei Regen in Allersberg	Allersberg	Spitalweiher	7.6.20 (So) 9:01
LjMqG_iPhSE_6376.jpg		no	2:19	2:24	138.739	143.739	5.000	Morgenspaziergang in der Nähe von Spalt	Spalt	Wasserzell	8.6.20 (Mo) 7:36
LjMqV_iPhSE_2731.mp4		no	2:24	2:32	143.739	152.014	8.275	Morgenspaziergang in der Nähe von Spalt	Spalt	Wasserzell	8.6.20 (Mo) 7:36
LjSaV_E400_6338.jpg		no	2:32	2:37	152.014	157.014	5.000	Die Knabenschule in Spalt	Spalt		8.6.20 (Mo) 8:37
LjSbE_E400_6340.jpg		no	2:37	2:42	157.014	162.014	5.000	Die Mädchenschule in Spalt	Spalt		8.6.20 (Mo) 8:37
LjSeK_iPhSE_2732.mp4		no	2:42	3:01	162.014	181.233	19.219	Im der Herrengasse in Spalt	Spalt		8.6.20 (Mo) 8:38
LjSgE_E400_6343.jpg		no	3:01	3:06	181.233	186.233	5.000	Das Rathaus in Spalt	Spalt		8.6.20 (Mo) 8:39
LjSpA_E400_6346.jpg		no	3:06	3:11	186.233	191.233	5.000	Das Kornhaus in Spalt	Spalt		8.6.20 (Mo) 8:43
LjSsV_E400_6348.jpg		no	3:11	3:16	191.233	196.233	5.000	Im Bürgergarten in Spalt	Spalt		8.6.20 (Mo) 8:45
LjSyF_iPhSE_6381.jpg		no	3:16	3:21	196.233	201.233	5.000	St. Nikolaus in Spalt	Spalt		8.6.20 (Mo) 8:47
LjTdX_iPhSE_6383.jpg		no	3:21	3:26	201.233	206.233	5.000	In St. Emmaram in Spalt	Spalt		8.6.20 (Mo) 8:50
LjVzY_E400_6351.jpg		no	3:26	3:31	206.233	211.233	5.000	Im Schnittlicher Loch bei Spalt	Spalt	Schnittlicher Loch	8.6.20 (Mo) 9:22
LkKaI_Scrsh_9353.jpg		no	3:31	3:36	211.233	216.233	5.000				8.6.20 (Mo) 12:00
LkKaJ_Scrsh_9354.jpg		no	3:36	3:41	216.233	221.233	5.000				8.6.20 (Mo) 12:00
