###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
000_JlUoX_E400_6854.jpg		no	0:00	0:05	0.000	5.000	5.000	Herbstliche Abendstimmung in Seeba westlich von Meiningen	Rhönblick	Seeba	11.10.20 (So) 17:22
GjJlI_iPhSE_8003.jpg		no	0:05	0:10	5.000	10.000	5.000	Morgenspaziergang auf der Wörnitzinsel in Oettingen im Ries	Öttingen		26.9.20 (Sa) 8:42
GoAlC_E400_6601.jpg		no	0:10	0:15	10.000	15.000	5.000	Sonnenaufgang an der Wörnitzinsel in Oettingen im Ries	Öttingen		27.9.20 (So) 7:25
GoGfI_E400_6602.jpg		no	0:15	0:20	15.000	20.000	5.000	Morgenspaziergang auf der Wörnitzinsel in Oettingen im Ries	Öttingen		27.9.20 (So) 8:30
GoGrZ_E400_6605.jpg		no	0:20	0:25	20.000	25.000	5.000	Morgenspaziergang auf der Wörnitzinsel in Oettingen im Ries	Öttingen		27.9.20 (So) 8:35
GoLrQ_E400_6610.jpg		no	0:25	0:30	25.000	30.000	5.000	Morgenspaziergang auf der Wörnitzinsel in Oettingen im Ries	Öttingen		27.9.20 (So) 9:32
GoMiQ_E400_6611.jpg		no	0:30	0:35	30.000	35.000	5.000	Morgenspaziergang auf der Wörnitzinsel in Oettingen im Ries	Öttingen		27.9.20 (So) 9:39
GoMjT_E400_6612.jpg		no	0:35	0:40	35.000	40.000	5.000	Morgenspaziergang auf der Wörnitzinsel in Oettingen im Ries	Öttingen		27.9.20 (So) 9:39
GoMsQ_E400_6614.jpg		no	0:40	0:45	40.000	45.000	5.000	Morgenspaziergang auf der Wörnitzinsel in Oettingen im Ries	Öttingen		27.9.20 (So) 9:43
GoNfI_E400_6618.jpg		no	0:45	0:50	45.000	50.000	5.000	Morgenspaziergang auf der Wörnitzinsel in Oettingen im Ries	Öttingen		27.9.20 (So) 9:49
GoZkU_iPhSE_8004.jpg		no	0:50	0:55	50.000	55.000	5.000	Siesta am ruhigen Seghoher Weiher bei Fremdingen nördlich des Ries	Fremdingen	Hochstadt	27.9.20 (So) 12:06
GpBvW_E400_6619.jpg		no	0:55	1:00	55.000	60.000	5.000	Siesta am ruhigen Seghoher Weiher bei Fremdingen nördlich des Ries	Fremdingen	Hochstadt	27.9.20 (So) 12:34
GpCiF_E400_6626.jpg		no	1:00	1:05	60.000	65.000	5.000	Siesta am ruhigen Seghoher Weiher bei Fremdingen nördlich des Ries	Fremdingen	Hochstadt	27.9.20 (So) 12:39
GqItI_E400_6629.jpg		no	1:05	1:10	65.000	70.000	5.000	In Burk nordöstlich von Dinkelsbühl	Burk		27.9.20 (So) 18:44
GtBsY_iPhSE_8005.jpg		no	1:10	1:15	70.000	75.000	5.000	In Burk nordöstlich von Dinkelsbühl	Burk		28.9.20 (Mo) 8:04
GuPsN_iPhSE_2820.mp4		yes	1:15	1:24	75.000	84.056	9.056	Blick ins obere Altmühltal nordöstlich von Schillingsfürst	Schillingsfürst	Altengreuth	28.9.20 (Mo) 15:35
GuPvZ_iPhSE_8008.jpg		no	1:24	1:29	84.056	89.056	5.000	Blick ins obere Altmühltal nordöstlich von Schillingsfürst	Schillingsfürst	Altengreuth	28.9.20 (Mo) 15:36
