###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
000_DpTiO_E400_6573.jpg		no	0:00	0:05	0.000	5.000	5.000	Abendstimmung auf dem Gelben Berg südlich von Gunzenhausen	Dittenheim	Gelber Berg	11.9.20 (Fr) 19:02
DpRsP_E400_6558.jpg		no	0:05	0:10	5.000	10.000	5.000	Abendstimmung auf dem Gelben Berg südlich von Gunzenhausen	Dittenheim	Gelber Berg	11.9.20 (Fr) 18:44
DpRwL_E400_6562.jpg		no	0:10	0:15	10.000	15.000	5.000	Abendstimmung auf dem Gelben Berg südlich von Gunzenhausen	Dittenheim	Gelber Berg	11.9.20 (Fr) 18:45
DpScW_E400_6566.jpg		no	0:15	0:20	15.000	20.000	5.000	Abendstimmung auf dem Gelben Berg südlich von Gunzenhausen	Dittenheim	Gelber Berg	11.9.20 (Fr) 18:48
DpTiO_E400_6573.jpg		no	0:20	0:25	20.000	25.000	5.000	Abendstimmung auf dem Gelben Berg südlich von Gunzenhausen	Dittenheim	Gelber Berg	11.9.20 (Fr) 19:02
DpTlM_E400_6574.jpg		no	0:25	0:30	25.000	30.000	5.000	Abendstimmung auf dem Gelben Berg südlich von Gunzenhausen	Dittenheim	Gelber Berg	11.9.20 (Fr) 19:03
DxThN_E400_6576.jpg		no	0:30	0:35	30.000	35.000	5.000	Auf dem Hesselberg (höchster Berg Mittelfrankens) westlich von Wassertrüdingen	Gerolfingen	Hesselberg	13.9.20 (So) 10:05
DxThR_E400_6577.jpg		no	0:35	0:40	35.000	40.000	5.000	Auf dem Hesselberg (höchster Berg Mittelfrankens) westlich von Wassertrüdingen	Gerolfingen	Hesselberg	13.9.20 (So) 10:05
DxVjH_E400_6583.jpg		no	0:40	0:45	40.000	45.000	5.000	Storchenwiese bei Wittelshofen westlich von Wassertrüdingen	Wittelshofen	Storchenwiese	13.9.20 (So) 10:28
DxVjO_E400_6584.jpg		no	0:45	0:50	45.000	50.000	5.000	Storchenwiese bei Wittelshofen westlich von Wassertrüdingen	Wittelshofen	Storchenwiese	13.9.20 (So) 10:28
DxVkS_E400_6585.jpg		no	0:50	0:55	50.000	55.000	5.000	Storchenwiese bei Wittelshofen westlich von Wassertrüdingen	Wittelshofen	Storchenwiese	13.9.20 (So) 10:29
DxVuO_E400_6588.jpg		no	0:55	1:00	55.000	60.000	5.000	Storchenwiese bei Wittelshofen westlich von Wassertrüdingen	Wittelshofen	Storchenwiese	13.9.20 (So) 10:33
DxVvL_E400_6591.jpg		no	1:00	1:05	60.000	65.000	5.000	Storchenwiese bei Wittelshofen westlich von Wassertrüdingen	Wittelshofen	Storchenwiese	13.9.20 (So) 10:34
DxVvM_E400_6592.jpg		no	1:05	1:10	65.000	70.000	5.000	Storchenwiese bei Wittelshofen westlich von Wassertrüdingen	Wittelshofen	Storchenwiese	13.9.20 (So) 10:34
EcDxQ_iPhSE_6597.jpg		no	1:10	1:15	70.000	75.000	5.000	Morgenstimmung auf dem Gelben Berg südlich von Gunzenhausen	Dittenheim	Gelber Berg	14.9.20 (Mo) 7:36
EcEcR_iPhSE_2819.mp4		no	1:15	1:37	75.000	97.356	22.356	Morgenstimmung auf dem Gelben Berg südlich von Gunzenhausen	Dittenheim	Gelber Berg	14.9.20 (Mo) 7:39
EdBgY_Scrsh_9356.jpg		no	1:37	1:42	97.356	102.356	5.000				14.9.20 (Mo) 12:00
EdBgZ_Scrsh_9357.jpg		no	1:42	1:47	102.356	107.356	5.000				14.9.20 (Mo) 12:00
