###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
000_NoWdD_M50_1301.jpg		no	0:00	0:05	0.000	5.000	5.000	In Pierre Percee in den Vogesen	Pierre-Percee		25.4.22 (Mo) 13:35
NiWuR_iPhSE_9002.jpg		no	0:05	0:10	5.000	10.000	5.000	Morgenspaziergang an der Moder im Elsaß	Val-de-Moder		24.4.22 (So) 8:25
NnShR_iPhSE_9003.jpg		no	0:10	0:15	10.000	15.000	5.000	Am See in Walscheid in den Vogesen	Walscheid		25.4.22 (Mo) 7:59
NnSiX_iPhSE_9004.jpg		no	0:15	0:20	15.000	20.000	5.000	Am See in Walscheid in den Vogesen	Walscheid		25.4.22 (Mo) 7:59
NoQhK_M50_1274.jpg		no	0:20	0:25	20.000	25.000	5.000	Am Stausee Pierre Percee in den Vogesen	Pierre-Percee-Stausee		25.4.22 (Mo) 12:29
NoQmJ_M50_1277.jpg		no	0:25	0:30	25.000	30.000	5.000	Am Stausee Pierre Percee in den Vogesen	Pierre-Percee-Stausee		25.4.22 (Mo) 12:31
NoQnF_M50_1278.jpg		no	0:30	0:35	30.000	35.000	5.000	Am Stausee Pierre Percee in den Vogesen	Pierre-Percee-Stausee		25.4.22 (Mo) 12:32
NoQqI_M50_1279.jpg		no	0:35	0:40	35.000	40.000	5.000	Am Stausee Pierre Percee in den Vogesen	Pierre-Percee-Stausee		25.4.22 (Mo) 12:33
NoTuU_M50_1285.jpg		no	0:40	0:45	40.000	45.000	5.000	Am Stausee Pierre Percee in den Vogesen	Pierre-Percee-Stausee		25.4.22 (Mo) 13:09
NoUfV_M50_1286.jpg		no	0:45	0:50	45.000	50.000	5.000	In Pierre Percee in den Vogesen	Pierre-Percee		25.4.22 (Mo) 13:13
NoVbU_M50_1293.jpg		no	0:50	0:55	50.000	55.000	5.000	In Pierre Percee in den Vogesen	Pierre-Percee		25.4.22 (Mo) 13:23
NoVhA_M50_1295.jpg		no	0:55	1:00	55.000	60.000	5.000	Am Stausee Pierre Percee in den Vogesen	Pierre-Percee-Stausee		25.4.22 (Mo) 13:25
NoWdD_M50_1301.jpg		no	1:00	1:05	60.000	65.000	5.000	In Pierre Percee in den Vogesen	Pierre-Percee		25.4.22 (Mo) 13:35
NoXdT_M50_1305.jpg		no	1:05	1:10	65.000	70.000	5.000	In Pierre Percee in den Vogesen	Pierre-Percee		25.4.22 (Mo) 13:46
NsTrG_E400_0185.jpg		no	1:10	1:15	70.000	75.000	5.000	In  La Bourgonce in den Vogesen	La Bourgonce		26.4.22 (Di) 8:39
NtCrN_M50_1307.jpg		no	1:15	1:20	75.000	80.000	5.000	Die Abtei Autrey in den Vogesen	Autrey		26.4.22 (Di) 10:20
NtCtZ_M50_1309.jpg		no	1:20	1:25	80.000	85.000	5.000	Die Abtei Autrey in den Vogesen	Autrey		26.4.22 (Di) 10:21
NtCuL_M50_1310.jpg		no	1:25	1:30	85.000	90.000	5.000	Die Abtei Autrey in den Vogesen	Autrey		26.4.22 (Di) 10:22
NtCwE_M50_1312.jpg		no	1:30	1:35	90.000	95.000	5.000	Die Abtei Autrey in den Vogesen	Autrey		26.4.22 (Di) 10:22
NtCyP_M50_1315.jpg		no	1:35	1:40	95.000	100.000	5.000	Die Abtei Autrey in den Vogesen	Autrey		26.4.22 (Di) 10:23
NtDaE_M50_1318.jpg		no	1:40	1:45	100.000	105.000	5.000	Die Abtei Autrey in den Vogesen	Autrey		26.4.22 (Di) 10:24
NtDcN_M50_1320.jpg		no	1:45	1:50	105.000	110.000	5.000	Die Abtei Autrey in den Vogesen	Autrey		26.4.22 (Di) 10:25
NtDgI_M50_1323.jpg		no	1:50	1:55	110.000	115.000	5.000	Die Abtei Autrey in den Vogesen	Autrey		26.4.22 (Di) 10:27
NtDhS_M50_1324.jpg		no	1:55	2:00	115.000	120.000	5.000	Die Abtei Autrey in den Vogesen	Autrey		26.4.22 (Di) 10:27
NtDjJ_M50_1326.jpg		no	2:00	2:05	120.000	125.000	5.000	Die Abtei Autrey in den Vogesen	Autrey		26.4.22 (Di) 10:28
NtDmH_M50_1327.jpg		no	2:05	2:10	125.000	130.000	5.000	Die Abtei Autrey in den Vogesen	Autrey		26.4.22 (Di) 10:29
NtDpE_M50_1330.jpg		no	2:10	2:15	130.000	135.000	5.000	Die Abtei Autrey in den Vogesen	Autrey		26.4.22 (Di) 10:31
