###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
000_NzJn_M50_1534.jpg		no	0:00	0:05	0.000	5.000	5.000	St.Kastulus in Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 9:52
FnCh_M50_1482.jpg		no	0:05	0:10	5.000	10.000	5.000	Im Dom zu Freising	Freising	Domberg	29.5.22 (So) 16:31
FnCy_M50_1483.jpg		no	0:10	0:15	10.000	15.000	5.000	Im Dom zu Freising	Freising	Domberg	29.5.22 (So) 16:31
FnEi_M50_1484.mp4		yes	0:15	0:27	15.000	27.000	12.000	Im Dom zu Freising	Freising	Domberg	29.5.22 (So) 16:31
FoAg_M50_1491.jpg		no	0:27	0:32	27.000	32.000	5.000	In der Krypta des Doms zu Freising	Freising	Domberg	29.5.22 (So) 16:41
FoCf_M50_1492.jpg		no	0:32	0:37	32.000	37.000	5.000	In der Krypta des Doms zu Freising	Freising	Domberg	29.5.22 (So) 16:42
FoDg_M50_1493.jpg		no	0:37	0:42	37.000	42.000	5.000	In der Krypta des Doms zu Freising	Freising	Domberg	29.5.22 (So) 16:42
FoGw_M50_1495.jpg		no	0:42	0:47	42.000	47.000	5.000	Im Dom zu Freising	Freising	Domberg	29.5.22 (So) 16:44
FoJk_M50_1498.jpg		no	0:47	0:52	47.000	52.000	5.000	Im Dom zu Freising	Freising	Domberg	29.5.22 (So) 16:45
FoRy_M50_1501.jpg		no	0:52	0:57	52.000	57.000	5.000	Im Dom zu Freising	Freising	Domberg	29.5.22 (So) 16:49
FoUm_M50_1502.jpg		no	0:57	1:02	57.000	62.000	5.000	Im Dom zu Freising	Freising	Domberg	29.5.22 (So) 16:50
FpFg_M50_1503.jpg		no	1:02	1:07	62.000	67.000	5.000	Der Dom zu Freising	Freising	Domberg	29.5.22 (So) 16:54
JxFt_M50_1506.jpg		no	1:07	1:12	67.000	72.000	5.000	St. Lamprecht bei Neumarkt-Sankt Veit	Neumarkt-Sankt Veit	Lamprechten	30.5.22 (Mo) 13:56
LeHs_M50_1507.jpg		no	1:12	1:17	72.000	77.000	5.000	An der Vils in Vilsbiburg	Vilsbiburg		30.5.22 (Mo) 20:09
NmWr_iPhSE_9701.jpg		no	1:17	1:22	77.000	82.000	5.000	An der Vils in Vilsbiburg	Vilsbiburg		31.5.22 (Di) 7:32
NxAi_M50_1511.jpg		no	1:22	1:27	82.000	87.000	5.000	In Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 9:26
NxEo_M50_1512.jpg		no	1:27	1:32	87.000	92.000	5.000	St.Kastulus in Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 9:28
NxIo_M50_1513.jpg		no	1:32	1:37	92.000	97.000	5.000	St.Kastulus in Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 9:29
NxMk_M50_1514.jpg		no	1:37	1:42	97.000	102.000	5.000	In St.Kastulus in Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 9:31
NxNl_M50_1515.jpg		no	1:42	1:47	102.000	107.000	5.000	In St.Kastulus in Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 9:32
NxPw_M50_1517.jpg		no	1:47	1:52	107.000	112.000	5.000	In St.Kastulus in Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 9:33
NxRo_M50_1518.jpg		no	1:52	1:57	112.000	117.000	5.000	In St.Kastulus in Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 9:33
NxTw_M50_1520.jpg		no	1:57	2:02	117.000	122.000	5.000	In St.Kastulus in Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 9:34
NxYe_M50_1523.jpg		no	2:02	2:07	122.000	127.000	5.000	In St.Kastulus in Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 9:36
NxZy_M50_1524.jpg		no	2:07	2:12	127.000	132.000	5.000	In St.Kastulus in Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 9:37
NyBe_M50_1525.jpg		no	2:12	2:17	132.000	137.000	5.000	In St.Kastulus in Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 9:37
NyEa_M50_1526.jpg		no	2:17	2:22	137.000	142.000	5.000	In St.Kastulus in Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 9:39
NzJn_M50_1534.jpg		no	2:22	2:27	142.000	147.000	5.000	St.Kastulus in Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 9:52
OaGj_M50_1540.jpg		no	2:27	2:32	147.000	152.000	5.000	In Moosburg an der Isar	Moosburg	Altstadt	31.5.22 (Di) 10:02
OkQy_Scrsh_9372.jpg		no	2:32	2:37	152.000	157.000	5.000				31.5.22 (Di) 12:00
OkQz_Scrsh_9370.jpg		no	2:37	2:42	157.000	162.000	5.000				31.5.22 (Di) 12:00
