###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
000_OaGxAr_M50_2260.jpg		no	0:00	0:05	0.000	5.000	5.000	Das Hochwasserrückhaltebecken Rappenbach	Rot an der Rot	Haslach	26.3.23 (So) 17:39
NzRwAg_iPhSE_7730.jpg		no	0:05	0:10	5.000	10.000	5.000	Im Antikhof in Günz an der Günz	Westerheim	Günz	23.3.23 (Do) 15:13
NzRxYe_M50_2178.jpg		no	0:10	0:15	10.000	15.000	5.000	Kuchen ist nichts für Hunde	Westerheim	Günz	23.3.23 (Do) 15:35
NzRxYs_M50_2179.jpg		no	0:15	0:20	15.000	20.000	5.000	Kuchen ist nichts für Hunde	Westerheim	Günz	23.3.23 (Do) 15:35
NzSdJi_M50_2181.jpg		no	0:20	0:25	20.000	25.000	5.000	In St. Peter und Paul in Buxheim	Buxheim		23.3.23 (Do) 16:36
NzSdMl_M50_2183.jpg		no	0:25	0:30	25.000	30.000	5.000	In St. Peter und Paul in Buxheim	Buxheim		23.3.23 (Do) 16:38
NzSdNf_M50_2184.jpg		no	0:30	0:35	30.000	35.000	5.000	In St. Peter und Paul in Buxheim	Buxheim		23.3.23 (Do) 16:38
NzSdQh_M50_2187.jpg		no	0:35	0:40	35.000	40.000	5.000	In St. Peter und Paul in Buxheim	Buxheim		23.3.23 (Do) 16:39
NzSdUf_M50_2190.jpg		no	0:40	0:45	40.000	45.000	5.000	In St. Peter und Paul in Buxheim	Buxheim		23.3.23 (Do) 16:41
NzSeCg_M50_2193.jpg		no	0:45	0:50	45.000	50.000	5.000	St. Peter und Paul in Buxheim	Buxheim		23.3.23 (Do) 16:44
NzVmWo_iPhSE_7732.jpg		no	0:50	0:55	50.000	55.000	5.000	Am Hochwasserrückhaltebecken Rappenbach	Rot an der Rot	Haslach	24.3.23 (Fr) 9:02
NzVuHt_M50_2197.jpg		no	0:55	1:00	55.000	60.000	5.000	Im Wohnmobil läßt es sich aushalten	Bad Wurzach		24.3.23 (Fr) 10:26
NzVuJp_M50_2201.jpg		no	1:00	1:05	60.000	65.000	5.000	Im Wohnmobil läßt es sich aushalten	Bad Wurzach		24.3.23 (Fr) 10:27
NzVuPf_M50_2206.jpg		no	1:05	1:10	65.000	70.000	5.000	Im Wohnmobil läßt es sich aushalten	Bad Wurzach		24.3.23 (Fr) 10:29
NzVuPx_M50_2208.jpg		no	1:10	1:15	70.000	75.000	5.000	Im Wohnmobil läßt es sich aushalten	Bad Wurzach		24.3.23 (Fr) 10:29
NzWtRb_M50_2210.jpg		no	1:15	1:20	75.000	80.000	5.000	Die Wallfahrtskirche St. Philippus und Jakobus in Bergatreute südlich von Bad Waldseee	Bergatreute		24.3.23 (Fr) 15:12
NzXaTn_M50_2212.jpg		no	1:20	1:25	80.000	85.000	5.000	Die Zisterzienserkirche in Baint nördlich von Weingarten	Baindt		24.3.23 (Fr) 16:32
NzXaXy_M50_2214.jpg		no	1:25	1:30	85.000	90.000	5.000	In der Zisterzienserkirche in Baint nördlich von Weingarten	Baindt		24.3.23 (Fr) 16:33
NzXbBb_M50_2216.jpg		no	1:30	1:35	90.000	95.000	5.000	In der Zisterzienserkirche in Baint nördlich von Weingarten	Baindt		24.3.23 (Fr) 16:35
NzXbNu_M50_2218.jpg		no	1:35	1:40	95.000	100.000	5.000	In der Zisterzienserkirche in Baint nördlich von Weingarten	Baindt		24.3.23 (Fr) 16:40
OaCjKx_iPad9_2890.jpg		no	1:40	1:45	100.000	105.000	5.000	Gemütlicher Abend auf dem Stellplatz in Horgenzell westlich von Ravensburg	Horgenzell		25.3.23 (Sa) 19:34
OaFvPl_M50_2222.jpg		no	1:45	1:50	105.000	110.000	5.000	Das Schloß Altshausen westlich von Aulendorf	Altshausen		26.3.23 (So) 12:30
OaFvTc_M50_2224.jpg		no	1:50	1:55	110.000	115.000	5.000	Das Schloß Altshausen westlich von Aulendorf	Altshausen		26.3.23 (So) 12:31
OaFvUj_M50_2225.mp4		yes	1:55	2:20	115.000	139.590	24.590	Das Schloß Altshausen westlich von Aulendorf	Altshausen		26.3.23 (So) 10:32
OaFvYi_M50_2228.jpg		no	2:20	2:25	139.590	144.590	5.000	Das Schloß Altshausen westlich von Aulendorf	Altshausen		26.3.23 (So) 12:34
OaFvZu_M50_2230.jpg		no	2:25	2:30	144.590	149.590	5.000	Das Schloß Altshausen westlich von Aulendorf	Altshausen		26.3.23 (So) 12:34
OaFwEs_M50_2232.jpg		no	2:30	2:35	149.590	154.590	5.000	In St. Michael in Altshausen westlich von Aulendorf	Altshausen		26.3.23 (So) 12:36
OaFwMs_M50_2234.jpg		no	2:35	2:40	154.590	159.590	5.000	In St. Michael in Altshausen westlich von Aulendorf	Altshausen		26.3.23 (So) 12:40
OaFwQy_M50_2235.jpg		no	2:40	2:45	159.590	164.590	5.000	Am Schloß Altshausen westlich von Aulendorf	Altshausen		26.3.23 (So) 12:42
OaFwUc_M50_2236.jpg		no	2:45	2:50	164.590	169.590	5.000	Das Schloß Altshausen westlich von Aulendorf	Altshausen		26.3.23 (So) 12:43
OaFwYl_M50_2238.jpg		no	2:50	2:55	169.590	174.590	5.000	St. Michael in Altshausen westlich von Aulendorf	Altshausen		26.3.23 (So) 12:45
OaFxDl_M50_2239.jpg		no	2:55	3:00	174.590	179.590	5.000	Das Schloß Altshausen westlich von Aulendorf	Altshausen		26.3.23 (So) 12:47
OaGqWx_iPhSE_7738.jpg		no	3:00	3:05	179.590	184.590	5.000	Am Hochwasserrückhaltebecken Rappenbach	Rot an der Rot	Haslach	26.3.23 (So) 16:30
OaGwPv_M50_2243.jpg		no	3:05	3:10	184.590	189.590	5.000	Das Hochwasserrückhaltebecken Rappenbach	Rot an der Rot	Haslach	26.3.23 (So) 17:34
OaGwTd_M50_2253.jpg		no	3:10	3:15	189.590	194.590	5.000	Am Hochwasserrückhaltebecken Rappenbach	Rot an der Rot	Haslach	26.3.23 (So) 17:36
OaGxAr_M50_2260.jpg		no	3:15	3:20	194.590	199.590	5.000	Das Hochwasserrückhaltebecken Rappenbach	Rot an der Rot	Haslach	26.3.23 (So) 17:39
OaKwAy_Scrsh_9380.jpg		no	3:20	3:25	199.590	204.590	5.000				27.3.23 (Mo) 13:00
OaKwAz_Scrsh_9381.jpg		no	3:25	3:30	204.590	209.590	5.000				27.3.23 (Mo) 13:00
