###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
000_ElDjA_M50_2285.jpg		no	0:00	0:05	0.000	5.000	5.000	An der Aller bei Wienhausen südlich von Celle	Wienhausen		17.4.23 (Mo) 18:07
EkZeX_iPhSE_7800.jpg		no	0:05	0:10	5.000	10.000	5.000	An der Aller bei Wienhausen südlich von Celle	Wienhausen		17.4.23 (Mo) 17:20
ElCcR_M50_2280.jpg		no	0:10	0:15	10.000	15.000	5.000	Kloster Wienhausen südlich von Celle	Wienhausen		17.4.23 (Mo) 17:53
ElCgL_M50_2282.jpg		no	0:15	0:20	15.000	20.000	5.000	Kloster Wienhausen südlich von Celle	Wienhausen		17.4.23 (Mo) 17:55
ElDcE_M50_2283.jpg		no	0:20	0:25	20.000	25.000	5.000	An der Aller bei Wienhausen südlich von Celle	Wienhausen		17.4.23 (Mo) 18:04
ElDjA_M50_2285.jpg		no	0:25	0:30	25.000	30.000	5.000	An der Aller bei Wienhausen südlich von Celle	Wienhausen		17.4.23 (Mo) 18:07
ElDsG_M50_2289.jpg		no	0:30	0:35	30.000	35.000	5.000	Am Kloster Wienhausen südlich von Celle	Wienhausen		17.4.23 (Mo) 18:11
EpVcJ_M50_2298.jpg		no	0:35	0:40	35.000	40.000	5.000	Romanische Kirche in Diesdorf westlich von Salzwedel	Diesdorf		18.4.23 (Di) 16:59
EpVnH_M50_2302.jpg		no	0:40	0:45	40.000	45.000	5.000	Romanische Kirche in Diesdorf westlich von Salzwedel	Diesdorf		18.4.23 (Di) 17:03
EpVuA_M50_2303.jpg		no	0:45	0:50	45.000	50.000	5.000	Romanische Kirche in Diesdorf westlich von Salzwedel	Diesdorf		18.4.23 (Di) 17:06
EtOtF_M50_2309.jpg		no	0:50	0:55	50.000	55.000	5.000	Klosterkirche Arendsee östlich von Salzwedel	Arendsee		19.4.23 (Mi) 11:19
EtUeQ_M50_2312.jpg		no	0:55	1:00	55.000	60.000	5.000	Am Arendsee östlich von Salzwedel	Arendsee		19.4.23 (Mi) 12:20
EtUnD_M50_2318.jpg		no	1:00	1:05	60.000	65.000	5.000	Kloster Arendsee östlich von Salzwedel	Arendsee		19.4.23 (Mi) 12:24
EtUsJ_M50_2321.jpg		no	1:05	1:10	65.000	70.000	5.000	In der Klosterkirche Arendsee östlich von Salzwedel	Arendsee		19.4.23 (Mi) 12:26
EtVhK_M50_2331.jpg		no	1:10	1:15	70.000	75.000	5.000	In der Klosterkirche Arendsee östlich von Salzwedel	Arendsee		19.4.23 (Mi) 12:33
EtWvQ_M50_2340.jpg		no	1:15	1:20	75.000	80.000	5.000	Kloster Arendsee östlich von Salzwedel	Arendsee		19.4.23 (Mi) 12:50
EtYoP_M50_2345.jpg		no	1:20	1:25	80.000	85.000	5.000	Klosterkirche Arendsee östlich von Salzwedel	Arendsee		19.4.23 (Mi) 13:09
EuOrN_M50_2351.jpg		no	1:25	1:30	85.000	90.000	5.000	Romanische Kirche in Beuster norwestlich von Havelberg	Seehausen	Beuster	19.4.23 (Mi) 16:11
EuPbI_M50_2355.jpg		no	1:30	1:35	90.000	95.000	5.000	Romanische Kirche in Beuster norwestlich von Havelberg	Seehausen	Beuster	19.4.23 (Mi) 16:15
EyGgL_M50_2360.jpg		no	1:35	1:40	95.000	100.000	5.000	Im Storchendorf Rühstädt nordwestlich von Havelberg	Rühstädt		20.4.23 (Do) 10:08
EyGoF_M50_2371.jpg		no	1:40	1:45	100.000	105.000	5.000	Im Storchendorf Rühstädt nordwestlich von Havelberg	Rühstädt		20.4.23 (Do) 10:11
EyHhP_M50_2410.jpg		no	1:45	1:50	105.000	110.000	5.000	Im Storchendorf Rühstädt nordwestlich von Havelberg	Rühstädt		20.4.23 (Do) 10:20
