###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
000_FxXfT_iPh7_3802.jpg		no	0:00	0:05	0.000	5.000	5.000	An der Wallfahrtskirche Lamberg südöstlich von Cham	Cham	Lamberg	17.10.24 (Do) 16:54
DkLyB_iPhSE_4174.jpg		no	0:05	0:10	5.000	10.000	5.000	Frühstück für zwei am Hochzeitstag in der Genusswelt Zott	Mertingen	Genusswelt Zott	4.10.24 (Fr) 9:26
DqPaR_M50_4365.jpg		no	0:10	0:15	10.000	15.000	5.000	Mittagspause in Meckenhausen bei Hilpotstein	Meckenhausen		5.10.24 (Sa) 15:19
DqQwZ_M50_4368.mp4	x	yes	0:15	0:34	15.000	34.040	19.040	In der Wallfahrtskirche Maria Hilf in Freystadt	Freystadt		5.10.24 (Sa) 15:40
DqQzP_M50_4369.jpg		no	0:34	0:39	34.040	39.040	5.000	In der Wallfahrtskirche Maria Hilf in Freystadt	Freystadt		5.10.24 (Sa) 15:41
DqRcB_M50_4372.jpg		no	0:39	0:44	39.040	44.040	5.000	In der Wallfahrtskirche Maria Hilf in Freystadt	Freystadt		5.10.24 (Sa) 15:42
DqRmH_M50_4382.jpg		no	0:44	0:49	44.040	49.040	5.000	In der Wallfahrtskirche Maria Hilf in Freystadt	Freystadt		5.10.24 (Sa) 15:46
DqRrV_M50_4389.jpg		no	0:49	0:54	49.040	54.040	5.000	In der Wallfahrtskirche Maria Hilf in Freystadt	Freystadt		5.10.24 (Sa) 15:49
DqRtB_M50_4391.jpg		no	0:54	0:59	54.040	59.040	5.000	In der Wallfahrtskirche Maria Hilf in Freystadt	Freystadt		5.10.24 (Sa) 15:49
DqRvZ_M50_4394.jpg		no	0:59	1:04	59.040	64.040	5.000	In der Wallfahrtskirche Maria Hilf in Freystadt	Freystadt		5.10.24 (Sa) 15:50
DqSdV_M50_4396.jpg		no	1:04	1:09	64.040	69.040	5.000	Die Wallfahrtskirche Maria Hilf in Freystadt	Freystadt		5.10.24 (Sa) 15:54
DqSpJ_M50_4400.jpg		no	1:09	1:14	69.040	74.040	5.000	Die Wallfahrtskirche Maria Hilf in Freystadt	Freystadt		5.10.24 (Sa) 15:59
DrDfV_iPhSE_4181.jpg	x	no	1:14	1:19	74.040	79.040	5.000	Die Klosterkirche St. Peter in Kastl	Kastl		5.10.24 (Sa) 17:59
DrDiT_iPhSE_4184.jpg		no	1:19	1:24	79.040	84.040	5.000	In der Klosterkirche St. Peter in Kastl	Kastl		5.10.24 (Sa) 18:00
DrDmQ_iPhSE_4188.jpg		no	1:24	1:29	84.040	89.040	5.000	In der Klosterkirche St. Peter in Kastl	Kastl		5.10.24 (Sa) 18:02
DrDrG_iPhSE_4195.jpg		no	1:29	1:34	89.040	94.040	5.000	In der Klosterkirche St. Peter in Kastl	Kastl		5.10.24 (Sa) 18:04
DrDtA_iPhSE_4196.jpg		no	1:34	1:39	94.040	99.040	5.000	An der Klosterkirche St. Peter in Kastl	Kastl		5.10.24 (Sa) 18:04
DrDtH_iPhSE_4199.jpg		no	1:39	1:44	99.040	104.040	5.000	Die Klosterkirche St. Peter in Kastl	Kastl		5.10.24 (Sa) 18:04
DuNbA_M50_4401.jpg	x	no	1:44	1:49	104.040	109.040	5.000	In Amberg	Amberg		6.10.24 (So) 10:28
DuNbZ_M50_4402.jpg		no	1:49	1:54	109.040	114.040	5.000	In Amberg	Amberg		6.10.24 (So) 10:28
DuNeG_M50_4404.jpg		no	1:54	1:59	114.040	119.040	5.000	In Amberg	Amberg		6.10.24 (So) 10:29
DuNeS_M50_4405.jpg		no	1:59	2:04	119.040	124.040	5.000	In Amberg	Amberg		6.10.24 (So) 10:30
DuNkK_M50_4407.jpg		no	2:04	2:09	124.040	129.040	5.000	Die Basilika St. Martin in Amberg	Amberg		6.10.24 (So) 10:32
DuNqK_M50_4409.jpg		no	2:09	2:14	129.040	134.040	5.000	In Amberg	Amberg		6.10.24 (So) 10:35
DuOdC_M50_4412.jpg		no	2:14	2:19	134.040	139.040	5.000	Am Rathaus in Amberg	Amberg		6.10.24 (So) 10:40
DuOiL_M50_4414.jpg		no	2:19	2:24	139.040	144.040	5.000	In Amberg	Amberg		6.10.24 (So) 10:42
DuOqT_M50_4416.jpg		no	2:24	2:29	144.040	149.040	5.000	In der Schulkirche in Amberg	Amberg		6.10.24 (So) 10:46
DuOtF_M50_4419.jpg		no	2:29	2:34	149.040	154.040	5.000	In der Schulkirche in Amberg	Amberg		6.10.24 (So) 10:47
DuOwV_M50_4424.jpg		no	2:34	2:39	154.040	159.040	5.000	In der Schulkirche in Amberg	Amberg		6.10.24 (So) 10:49
DuPbG_M50_4427.jpg		no	2:39	2:44	159.040	164.040	5.000	An der Schulkirche in Amberg	Amberg		6.10.24 (So) 10:51
