###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime
000_WxLsX_iPh16e_4935.jpg		no	0:00	0:05	0.000	5.000	5.000	Am Besucherbergwerk Christiane bei Adorf östlich von Brilon	Diemelsee	Adorf	10.10.25 (Fr) 13:27
VoLpR_iPh16e_4900.jpg		no	0:05	0:10	5.000	10.000	5.000	An der Ruine Rauhe Burg bei Harburg an der Wörnitz	Harburg (Schwaben)	Ebermergen	3.10.25 (Fr) 10:33
VoLuE_iPh16e_4902.jpg		no	0:10	0:15	10.000	15.000	5.000	An der Ruine Rauhe Burg bei Harburg an der Wörnitz	Harburg (Schwaben)	Ebermergen	3.10.25 (Fr) 10:35
VoMbB_iPh16e_4903.jpg		no	0:15	0:20	15.000	20.000	5.000	An der Ruine Rauhe Burg bei Harburg an der Wörnitz	Harburg (Schwaben)	Ebermergen	3.10.25 (Fr) 10:38
VuJfM_iPh16e_4904.jpg		no	0:20	0:25	20.000	25.000	5.000	In Lich südöstlich von Gießen	Lich		4.10.25 (Sa) 15:24
VuJgD_iPh16e_4905.jpg		no	0:25	0:30	25.000	30.000	5.000	In Lich südöstlich von Gießen	Lich		4.10.25 (Sa) 15:24
VuJvO_iPh16e_4908.jpg		no	0:30	0:35	30.000	35.000	5.000	In Lich südöstlich von Gießen	Lich		4.10.25 (Sa) 15:31
VuOqH_iPh16e_0060.mp4	x	yes	0:35	0:51	35.000	51.213	16.213	Bei Bottenhorn zwischen Marburg und Dillenburg	Bad Endbach	Bottenhorn	4.10.25 (Sa) 18:25
VuZfT_iPh16e_4909.jpg		no	0:51	0:56	51.213	56.213	5.000	Bei Bottenhorn zwischen Marburg und Dillenburg	Bad Endbach	Bottenhorn	4.10.25 (Sa) 18:24
VvFbV_M50_5074.jpg		no	0:56	1:01	56.213	61.213	5.000	Bei Bottenhorn zwischen Marburg und Dillenburg	Bad Endbach	Bottenhorn	4.10.25 (Sa) 19:30
WhWhO_iPh16e_4915.jpg		no	1:01	1:06	61.213	66.213	5.000	Bei Erndtebrück zwischen Siegen und Bad Berleburg	Erndtebrück		7.10.25 (Di) 9:19
WrPqH_iPh16e_4918.jpg		no	1:06	1:11	66.213	71.213	5.000	Bei Hallenberg südlich von Winterberg	Hallenberg		9.10.25 (Do) 8:53
WsIyY_iPh16e_4920.jpg	x	no	1:11	1:16	71.213	76.213	5.000	Auf dem Schloßberg östlich von Winterberg	Medebach	Küstelberg	9.10.25 (Do) 12:31
WsVoD_iPh16e_4926.jpg		no	1:16	1:21	76.213	81.213	5.000	An der Diemelquelle südöstluch von Willingen	Willingen	Usseln	9.10.25 (Do) 14:53
WsVvH_M50_5078.jpg		no	1:21	1:26	81.213	86.213	5.000	An der Diemelquelle südöstluch von Willingen	Willingen	Usseln	9.10.25 (Do) 14:56
WsVvX_M50_5080.jpg		no	1:26	1:31	86.213	91.213	5.000	An der Diemelquelle südöstluch von Willingen	Willingen	Usseln	9.10.25 (Do) 14:56
WsVzB_M50_5081.jpg		no	1:31	1:36	91.213	96.213	5.000	An der Diemelquelle südöstluch von Willingen	Willingen	Usseln	9.10.25 (Do) 14:58
WsVzZ_M50_5083.jpg		no	1:36	1:41	96.213	101.213	5.000	An der Diemelquelle südöstluch von Willingen	Willingen	Usseln	9.10.25 (Do) 14:58
WwJtL_iPh16e_4927.jpg	x	no	1:41	1:46	101.213	106.213	5.000	Bei Schwalefeld nordöstlich von Willingen	Willingen	Schwalefeld	10.10.25 (Fr) 8:12
